;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Январь 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;15114;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.01.2014;ср;;;2000;;;;2000;;;;86;сиги;;;86;;17028;;;
;;02.01.2014;чт;;;200;;;;200;;;;140|60|200;кафе|сиги|хавка;;;400;;16828;;;
;;03.01.2014;пт;;;;;;;0;;250;;;;22;хлеб;272;;16556;;;
;;04.01.2014;сб;;;;;1500|200;Федян|такси;1700;;;;100|130|86|150|50|1100;Кафе|Мак|Сиги|КафеЗавтра|Мак|CrazyDaizy;;;1616;;16640;;;
;;05.01.2014;вс;;;;;;;0;;;;;;750;мастерхост  3 месяца;750;;15890;;;
;;06.01.2014;пн;;;;;;;0;;300;;100|86|14;iPad|сиги|вода;;;500;;15390;;;
;;07.01.2014;вт;;;;;;;0;;;;;;;;0;;15390;;;
;;08.01.2014;ср;;;;;;;0;;;;;;;;0;;15390;;;
;;09.01.2014;чт;;;200;;;;200;;;;;;;;0;;15590;;;
;;10.01.2014;пт;;;;1200;;;1200;;;100;86;сиги;;;186;;16604;;;
;;11.01.2014;сб;;;;;;;0;;;;;;8500;агенство недвижимости;8500;;8104;;;
;;12.01.2014;вс;;;;1000;;;1000;;200;;;;;;200;;8904;;;
;;13.01.2014;пн;100;iPad;;1100;;;1200;;;;100;iPad;;;100;;10004;;;
;;14.01.2014;вт;200;Мобила;;;;;200;;;200;86|164;сиги|мак;;;450;;9754;;;
;;15.01.2014;ср;;;;;;;0;;;;;;;;0;;9754;;;
;;16.01.2014;чт;;;;1200;;;1200;183;200;;;;150;аптека;533;;10421;;;
;;17.01.2014;пт;;;2000;;;;2000;191;200;;200|200;еда|алко;2000;ДТП с маздой;2791;;9630;;;
;;18.01.2014;сб;;;;;;;0;;;;20;проезд;;;20;;9610;;;
;;19.01.2014;вс;;;;2200;;;2200;;;;;;;;0;;11810;;;
;;20.01.2014;пн;;;;;;;0;;;;20|170;жига|бургеркинг;63;рамка на номера;253;;11557;;;
;;21.01.2014;вт;100;Мобила;;;;;100;170;300;100;80;сиги;190;поводок на ВАЗ 2115;840;;10817;;;
;;22.01.2014;ср;100;iPad;;;;;100;150;;;100;iPad;;;250;;10667;;;
;;23.01.2014;чт;7110|100;зубы|мобила;190;2300;;;9700;;;100;50|28|450;метро|чай|Пати в Общаге;;;628;;19739;;;
;;24.01.2014;пт;;;;1200;;;1200;;;;100|100;сиги|мак;;;200;;20739;;;
;;25.01.2014;сб;;;;;;;0;;;;;;;;0;;20739;;;
;;26.01.2014;вс;;;;2200;;;2200;;;;;;;;0;;22939;;;
;;27.01.2014;пн;;;;1100;;;1100;;;;86|110;сиги|саб;60;поездки;256;;23783;;;
;;28.01.2014;вт;500;стрижка;500;;;;1000;175;;;150|360;саб|бухло в Меге;500|135|2000|150|500;стрижка|поездки|джинсы|футболка|нижнеебельё;3970;;20813;;;
;;29.01.2014;ср;;;;1100;;;1100;;;;;;;;0;;21913;;;
;;30.01.2014;чт;100;Мобила;500;;;;600;;300;100;110|195;воппер|бабушке;1070;расходники для Ваз2115;1775;;20738;;;
;;31.01.2014;пт;;;880;;;;880;;200;;;;1490|1200;радиатор|ремонт;2890;;18728;12605;-6123;
;;Сумма;;8310;;6470;14600;1700;;31080;869;1950;600;5267;;18780;;27466;;;;;
;;Корректировка;-6123;;;;;;;;;;;;Средний доход в день;1002.6;Средний расход в день;886;;;;;
;;Прибыль по расчету;;3614;Прибыль по деньгам;-2509;;;Разница;-6123;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;12605;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
