;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Февраль 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;12605;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.02.2014;сб;630;Проезд(татИметр);;;;;630;;;;286|86;с Аней|сиги;230;проезд на автобус;602;;12633;;;
;;02.02.2014;вс;;;;2200;;;2200;;;;;;;;0;;14833;;;
;;03.02.2014;пн;;;;1100;;;1100;;;;285;с Аней );;;285;;15648;;;
;;04.02.2014;вт;;;;;;;0;;;;200;бургеркинг;500;долг Владу;700;;14948;;;
;;05.02.2014;ср;;;400;2300;;;2700;;200;;;;;;200;;17448;;;
;;06.02.2014;чт;;;;;200;такси;200;;;;100|86;Щупы|Сиги;1500;Сход/развал;1686;;15962;;;
;;07.02.2014;пт;;;;;;;0;;200;;;;;;200;;15762;;;
;;08.02.2014;сб;;;;;;;0;88;;;500;Кружка;;;588;;15174;;;
;;09.02.2014;вс;;;;2200;;;2200;;;;86;Сиги;;;86;;17288;;;
;;10.02.2014;пн;;;;;;;0;;150;100;1200|50;Яхрома(горные лыжи)|iPad;;;1500;;15788;;;
;;11.02.2014;вт;;;;;;;0;80;;;;;;;80;;15708;;;
;;12.02.2014;ср;;;3000;;2156;степендия;5156;30;;;;;;;30;;20834;;;
;;13.02.2014;чт;100;мобила;100;;;;200;65;;100;76;сиги;;;241;;20793;;;
;;14.02.2014;пт;;;;;100;такси;100;70;;;90;сиги;;;160;;20733;;;
;;15.02.2014;сб;;;;;;;0;;200;;90;сиги;;;290;;20443;;;
;;16.02.2014;вс;;;;1200;;;1200;;;;111;бабушка;;;111;;21532;;;
;;17.02.2014;пн;;;;1100;1000;НаталВладимир за 2ф(серSбелM);2100;185;200;;30|86;вода|сиги;60;смс банкинг;561;;23071;;;
;;18.02.2014;вт;;;;1000;500;Миша на бенз за переезд ;1500;;300;;8;жига;;;308;;24263;;;
;;19.02.2014;ср;;;1000;;;;1000;169;;15;;;33;марс;217;;25046;;;
;;20.02.2014;чт;100;мобила;;;;;100;;;100;300;мак;50;поездки;450;;24696;;;
;;21.02.2014;пт;;;;1100;500;футболка РХТУ белая L;1600;;;;86;сиги;160;защелки зад сидения;246;;26050;;;
;;22.02.2014;сб;;;;;;;0;75;;;;;;;75;;25975;;;
;;23.02.2014;вс;;;;1200;;;1200;;200;;;;;;200;;26975;;;
;;24.02.2014;пн;;;;1100;;;1100;;;;158;сабвей;80;проезд;238;;27837;;;
;;25.02.2014;вт;100;мобила;;;500;футболка РХТУ серая S;600;100;;100;;;107;Федян Авито;307;;28130;;;
;;26.02.2014;ср;;;;;;;0;133;;;86;сиги;;;219;;27911;;;
;;27.02.2014;чт;;;;;107;Федян авито;107;150;200;;;;;;350;;27668;;;
;;28.02.2014;пт;;;;;;;0;150;;;86;сиги;;;236;;27432;28089;657;
;;Сумма;;930;;4500;14500;5063;;24993;1295;1650;415;4086;;2720;;10166;;;;;
;;Корректировка;657;;;;;;;;;;;;Средний доход в день;892.6;Средний расход в день;363.1;;;;;
;;Прибыль по расчету;;14827;Прибыль по деньгам;15484;;;Разница;657;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;28089;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
