;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Март 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;28089;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.03.2014;сб;;;200;;;;200;100;300;38;80|120|39;пиво| автопрятки|iPad;;;677;;27612;;;
;;02.03.2014;вс;;;;1150;;;1150;;;;;;;;0;;28762;;;
;;03.03.2014;пн;138;мобильный;;1100;;;1238;;;138;;;;;138;;29862;;;
;;04.03.2014;вт;;;2000;1000;;;3000;250;;;;;;;250;;32612;;;
;;05.03.2014;ср;;;;1100;;;1100;85;300;;;;;;385;;33327;;;
;;06.03.2014;чт;;;;;;;0;;;;395;с Катей;2500|52|200;куртка|aux|ключи;3147;;30180;;;
;;07.03.2014;пт;2500|1000;куртка|машина;;;300;такси;3800;60;300;;130;мак;;;490;;33490;;;
;;08.03.2014;сб;;;;;;;0;;;;40|23;морож|салфетки;600|564;приборка|букет бабушке;1227;;32263;;;
;;09.03.2014;вс;200;телефон;;1500;100;такси;1800;;400;200;90|484;сиги| с Катей;;;1174;;32889;;;
;;10.03.2014;пн;50;телефон;;;;;50;;;50;;;150;обслуж карты;200;;32739;;;
;;11.03.2014;вт;;;;;100;прикурил беху;100;160;;;;;400;ремонт тачки;560;;32279;;;
;;12.03.2014;ср;;;;1100;2254;степендия;3354;50;;;;;;;50;;35583;;;
;;13.03.2014;чт;;;;;200;такси;200;130;300;100;;;;;530;;35253;;;
;;14.03.2014;пт;;;;;;;0;;;;;;;;0;;35253;;;
;;15.03.2014;сб;;;2000;;;;2000;50;;;50|20;еда|iPad;;;120;;37133;;;
;;16.03.2014;вс;;;;2000;;;2000;;400;;30|50;киткат|насте50р;;;480;;38653;;;
;;17.03.2014;пн;;;;1100;;;1100;85;;140;300;ростикс;6160|60;эвакуатор|моб банкинг;6745;;33008;;;
;;18.03.2014;вт;;;;;;;0;;;;;;;;0;;33008;;;
;;19.03.2014;ср;;;;1100;;;1100;80;;;13;iPad;260;седьмой континент;353;;33755;;;
;;20.03.2014;чт;;;350;;;;350;267;;;30;kitkat;50;проездной;347;;33758;;;
;;21.03.2014;пт;;;;;;;0;198;;;;;50|25;телеф|проезд.;273;;33485;;;
;;22.03.2014;сб;;;;;;;0;55;;;;;;;55;;33430;;;
;;23.03.2014;вс;;;1200;;;;1200;;400;30;241|108|12;якитория|саб|iPad;;;791;;33839;;;
;;24.03.2014;пн;;;;;;;0;200;;20;;;;;220;;33619;;;
;;25.03.2014;вт;;;1000;;;;1000;;;;85|165|108;сиги|якитория|саб;;;358;;34261;;;
;;26.03.2014;ср;;;2500;;;;2500;178;;;;;;;178;;36583;;;
;;27.03.2014;чт;;;;;;;0;100;;20;130;мак;;;250;;36333;;;
;;28.03.2014;пт;100;телефон;;;;;100;40;300;100;95;сиги;;;535;;35898;;;
;;29.03.2014;сб;;;;;;;0;150;;;50|85;липтон|менза;;;285;;35613;;;
;;30.03.2014;вс;;;;1200;;;1200;;;;122|30;кафе|твикс;35;маршрутка;187;;36626;;;
;;31.03.2014;пн;;;;;;;0;123;;;;;500|30|550;ситник|проезд|стрижка;1203;;35423;35020;-403;
;;Сумма;;3988;;9250;12350;2954;;28542;2361;2700;836;3125;;12186;;21208;;;;;
;;Корректировка;-403;;;;;;;;;;;;Средний доход в день;920.7;Средний расход в день;684.1;;;;;
;;Прибыль по расчету;;7334;Прибыль по деньгам;6931;;;Разница;-403;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;35020;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
