;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Апрель 2014;;Cash+QIWI+сбер;;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;35020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Мобила;iPad;Гулянки;;Другие расходы;;Всего;;;;;
;;01.04.2014;вт;;;;2100;;;2100;;;;;95;сиги;71|264|1490|140;проезд|книг|кофт|носк;2060;;35060;34045;-1015;
;;02.04.2014;ср;;;;1100;;;1100;;;;;100;якитория;;;100;;36060;;;
;;03.04.2014;чт;100;маонез;;;;;100;180;;26;;200;мак;34|60;майонез|щетка;500;;35660;;;
;;04.04.2014;пт;;;;;;;0;200;;20;;;;50;проезд;270;;35390;;;
;;05.04.2014;сб;;;2000;;;;2000;;;6;;95|130;сиги|япоша;30|470;проезд|паяльник;731;;36659;;;
;;06.04.2014;вс;;;;2200;;;2200;;;12;;50;кола;;;62;;38797;37871;-926;
;;07.04.2014;пн;100;мобила;1000;1100;;;2200;190;;100;;77;сиги;50;проезд;417;;40580;;;
;;08.04.2014;вт;350;проезд;;;;;350;10;;;;;;350;проезд;360;;40570;;;
;;09.04.2014;ср;;;;1100;2254;степендия;3354;;;;;100;якитория;150|21;клемы|хлеб;271;;43653;;;
;;10.04.2014;чт;;;;;;;0;233;;;;95;сиги;;;328;;43325;;;
;;11.04.2014;пт;;;;;;;0;86;400;;;;;1070;доп по автошколе;1556;;41769;;;
;;12.04.2014;сб;;;;;;;0;50;;100;;95|200;сиги|KFC;1300;bassland;1745;;40024;;;
;;13.04.2014;вс;;;100;;;;100;;;;;100;сиги;889;чайник бабушке;989;;39135;38283;-852;
;;14.04.2014;пн;;;;;;;0;105;;;;100;якитория;100;Полине мобила;305;;38830;;;
;;15.04.2014;вт;;;;;;;0;80;;;;95|120;сиги|хотдог;150;дротики;445;;38385;;;
;;16.04.2014;ср;;;;1100;;;1100;190;400;50;;86;сиги;;;726;;38759;;;
;;17.04.2014;чт;100;мобила;3000;;;;3100;;;100;;15;гажиглка;60;моб. банкинг;175;;41684;;;
;;18.04.2014;пт;;;;;;;0;140;;;;;;;;140;;41544;;;
;;19.04.2014;сб;200;ipad;;;150;такси;350;180;;50;200;95|46;сиги|липтон;95;сиги;666;;41228;;;
;;20.04.2014;вс;;;;;;;0;;700;;;70|50;вода|салфетки;;;820;;40408;39625;-783;
;;21.04.2014;пн;;;;;;;0;150;;;;;;;;150;;40258;;;
;;22.04.2014;вт;100;мобила;;;;;100;69;;100;;200;кружка;;;369;;39989;;;
;;23.04.2014;ср;;;;1100;;;1100;;;;;300|86;б.ланч|сиги;;;386;;40703;;;
;;24.04.2014;чт;;;;;;;0;80;;;;;;;;80;;40623;;;
;;25.04.2014;пт;;;;;;;0;162;;;;85;мак;;;247;;40376;;;
;;26.04.2014;сб;;;500;;;;500;150;;;;95|270|374;сиги|виски|еда;;;889;;39987;;;
;;27.04.2014;вс;;;;2400;;;2400;;;;;34;nestea;700|50;кофта|проезд;784;;41603;40897;-706;
;;28.04.2014;пн;;;2000;;;;2000;167;;17;;67|110;nestea|бургер;50;проезд;411;;43192;;;
;;29.04.2014;вт;;;;2300;;;2300;;;;;58|110;пепси|subway;566|2499;зарядка акум.|джинсы;3233;;42259;;;
;;30.04.2014;ср;;;;;;;0;;;17;;53|400;ашан|кафе;;;470;;41789;41086;-703;
;;Сумма;;950;;8600;14500;2404;;26454;2422;1500;598;200;4256;;10709;;19685;;;;;
;;Корректировка;-703;;PM spent:;8178;PM a day:;273;;;;;;;;Средний доход в день;882;Средний расход в день;656,1666667;;;;;
;;Прибыль по расчету;;6769;Прибыль по деньгам;;6066;;Разница;-703;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Cash+QIWI+сбер;;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;41086;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
