;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Май 2014;;Cash+QIWI+сбер;;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;41086;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Моб;iPad;Гулянки;;Другие расходы;;Всего;;;;;
;;01.05.2014;чт;;;;;;;0;;;20;;10;музыканту;192;седьм. конт.;222;;40864;;;
;;02.05.2014;пт;;;;;;;0;;;;;;;;;0;;40864;;;
;;03.05.2014;сб;;;;;;;0;;;20;;26|37;kitkat|морож;;;83;;40781;;;
;;04.05.2014;вс;;;;;;;0;;300;10;;130;мак;57;паяльная кислота;497;;40284;;;
;;05.05.2014;пн;;;;1200;;;1200;174;;10;;;;;;184;;41300;;;
;;06.05.2014;вт;350;проездной на метро;;1100;;;1450;164;;20;;38;марс;350|100;Проездной|Вано;672;;42078;42079;1;
;;07.05.2014;ср;;;;1100;100;Вано отдал;1200;20;;;;100|90|40;пиво|мак|марс;;;250;;43028;;;
;;08.05.2014;чт;100|250|500;тройка|моб|инет;100;1200;;;2150;;;115;;;;35|188;седьм. конт.|ашан;338;;44840;;;
;;09.05.2014;пт;;;;;;;0;;500;;;;;;;500;;44340;;;
;;10.05.2014;сб;800|200|100;моб|бенз|мак;;;;;1100;;500;100;;212;мак с сестрой;50;кто-то забрал;862;;44578;;;
;;11.05.2014;вс;;;;;300;такси;300;;;;;32|110|26;морож|бургер|йогурт;;;168;;44710;44730;20;
;;12.05.2014;пн;;;;;2254;степендия;2254;168;;;14;79|162;nastea|продукты;;;423;;46541;;;
;;13.05.2014;вт;;;;;;;0;;;;;96|60|453|460;магаз|сиги|тодасе|кафе;209;лекарство Эвкалипт;1278;;45263;;;
;;14.05.2014;ср;;;;;;;0;148;;;14;35;кофе;;;197;;45066;;;
;;15.05.2014;чт;;;;;200;такси;200;;400;;14;35;кофе;180|32;Анвимакс|терафлю;661;;44605;44653;48;
;;16.05.2014;пт;;;6000;;;;6000;127;;;;22;морож;35;маршрутка;184;;50421;;;
;;17.05.2014;сб;;;;;;;0;130;;;;211|105|37;спб|мак|марс;60;моб. банкинг;543;;49878;;;
;;18.05.2014;вс;;;;1200;;;1200;;;;;15;мороженное;35;маршрутка;50;;51028;;;
;;19.05.2014;пн;;;;;;;0;134;;;;;;20|109|200;автобус|аптека|Вано;463;;50565;50586;21;
;;20.05.2014;вт;;;;;;;0;;;;;65;nestea;45|300|1070|35|500;мршр|спрвк|ВИЧ|мрш|стрижк;2015;;48550;;;
;;21.05.2014;ср;;;;1200;100;Вано отдал;1300;;;;;37|15|100|129;твикс|мрж|пиво|Яна;95|350;маршр|фото;726;;49124;;;
;;22.05.2014;чт;1500|500;анализы|стрижка;1000;;90;Вано пиво;3090;;;;;120|32;пиво|морож;2000;ремонт двигателя;2152;;50062;;;
;;23.05.2014;пт;100;мобила;;;150|100;Вано|Яна занял;350;148;;200;;100|330|354|105|389;Тануки|подрк|мак|сиги|Вино;100;каплиВнос;1726;;48686;48703;17;
;;24.05.2014;сб;;;;;;;0;98;300;;;;;;;398;;48288;;;
;;25.05.2014;вс;;;500;;;;500;;700;;;;;92|45;вода|салфетки;837;;47951;;;
;;26.05.2014;пн;;;;;;;0;;;;;;;;;0;;47951;;;
;;27.05.2014;вт;;;;;;;0;;;;;;;56;проезд;56;;47895;47910;15;
;;28.05.2014;ср;350;проездной;50;;;;400;130;;;;;;50;проезд;180;;48115;;;
;;29.05.2014;чт;;;;1200;;;1200;150;300;;;27;морож;;;477;;48838;;;
;;30.05.2014;пт;;;;;45000;продал ВАЗ 2115;45000;106;;;;178;сабвей;100|200;тройка|долгВано;584;;93254;;;
;;31.05.2014;сб;;;1100;;;;1100;173;;16;;250|400|92|440;killfish|ПослДеньг|Мак|Вино;;;1371;;92983;93015;32;
;;Сумма;;4750;;8750;8200;48294;;69994;1870;3000;511;42;5784;;6890;;18097;;;;;
;;Корректировка;32;;PM spent:;10654;PM a day:;344;;;;;;;;Средний доход в день;806;Средний расход в день;583,7741935;;;;;
;;Прибыль по расчету;;51897;Прибыль по деньгам;;51929;;Разница;32;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Cash+QIWI+сбер;;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;93015;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
