;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Июнь 2014;;Cash+QIWI+сбер;;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;93015;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Моб;iPad;Гулянки;;Другие расходы;;Всего;;;;;
;;01.06.2014;вс;;;;1200;;;1200;;;8;;;;350;проездной;358;;93857;;;
;;02.06.2014;пн;500;мобильный;;;;;500;242;;520;;;;;;762;;93595;93595;0;
;;03.06.2014;вт;;;200;;;;200;155;;;;250|90;с Дашей|мак;42;щетка;537;;93258;;;
;;04.06.2014;ср;;;;;;;0;165;;;;;;990|780|20;сумка|очки|маршр;1955;;91303;;;
;;05.06.2014;чт;;;200;;15000;iPad;15200;157;;;;50;липтон;2000|200;колобкову|такси;2407;;104096;104093;-3;
;;06.06.2014;пт;;;;;;;0;;;;;650|1500;пицца на раб| с Яной;;;2150;;101946;;;
;;07.06.2014;сб;;;200;;;;200;154;;;;166|100;пиво|мак;23|45;музыканту|морож;488;;101658;;;
;;08.06.2014;вс;;;;;;;0;;;;;93;техас чикен;;;93;;101565;;;
;;09.06.2014;пн;;;200;;2254;степендия;2454;175;;;;258;мак;;;433;;103586;;;
;;10.06.2014;вт;;;1000;;;;1000;137;;;;;;;;137;;104449;;;
;;11.06.2014;ср;;;;;;;0;110;;;;37;kitkat;;;147;;104302;104215;-87;
;;12.06.2014;чт;;;;;;;0;;;;;;;;;0;;104302;;;
;;13.06.2014;пт;;;300;;;;300;;;;;95|40;сиги|липтон;81;мороженое;216;;104386;;;
;;14.06.2014;сб;;;;;;;0;;;;;;;;;0;;104386;;;
;;15.06.2014;вс;;;;;;;0;84;;;;49;морож;;;133;;104253;;;
;;16.06.2014;пн;;;;;;;0;162;;;;132;мак;68;магаз;362;;103891;103809;-82;
;;17.06.2014;вт;;;200;;;;200;158;;;;27;kitkat;200|35|60;паспорт|маршр|моб.банк;480;;103611;;;
;;18.06.2014;ср;;;1000;;2254;степендия;3254;168;;32;;130;мак;1200|900;RepetitorMap|masterhost;2430;;104435;;;
;;19.06.2014;чт;;;;;;;0;202;;10;;1475;с Яной(кино);50|150;5 дней|зуб. щетка;1887;;102548;102453;-95;
;;20.06.2014;пт;;;;;8622;аванс;8622;300;;40;;637;выпускной;100;морож;1077;;110093;;;
;;21.06.2014;сб;;;;;;;0;;;;;577;с Яной(пг магаз коньяк);17300;iphone 5C 32GB;17877;;92216;;;
;;22.06.2014;вс;;;;;150;кто-то на тел;150;;;150;;;;410;аптека;560;;91806;;;
;;23.06.2014;пн;;;;;;;0;150;;;;;;;;150;;91656;;;
;;24.06.2014;вт;;;;;;;0;150;;;;271|500|100;мак|тодасе(др федоса)|такси;100;коммисия сбербанка;1121;;90535;;;
;;25.06.2014;ср;;;;;;;0;180;;;;155|20|191|109;мак|жвачк|мак|саб;200;подарок Диме;855;;89680;89573;-107;
;;26.06.2014;чт;;;;;;;0;180;;;;;;;;180;;89500;;;
;;27.06.2014;пт;;;1000;;;;1000;337;;;;150|200|350;мак|входВCrazy|б52;;;1037;;89463;89383;-80;
;;28.06.2014;сб;;;;;;;0;;;;;428;с Яной;;;428;;89035;;;
;;29.06.2014;вс;;;;;;;0;;;;;;;1000|50;маме подарок | 5дней;1050;;87985;;;
;;30.06.2014;пн;;;2000;;;;2000;170;;20;;;;200|30;клубника|маршрутка;420;;89565;89479;-86;
;;Сумма;;500;;6300;1200;28280;;36280;3536;0;780;0;8830;;26584;;39730;;;;;
;;Корректировка;-86;;PM spent:;12366;PM a day:;412;;;;;;;;Средний доход в день;1209;Средний расход в день;1324,333333;;;;;
;;Прибыль по расчету;;-3450;Прибыль по деньгам;;-3536;;Разница;-86;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Cash+QIWI+сбер;;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;89479;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
