;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Июль 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;89479;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.07.2014;вт;650;проездной;;;;;650;170;;20;;;230|50;проезнойТАТ|тройка;470;;89659;89659;0;
;;02.07.2014;ср;;;;;;;0;170;;20;100;с Яной;350;проезнойМетро;640;;89019;;;
;;03.07.2014;чт;;;;;;;0;170;;20;17|10;мороженое|маме;400|235|147;чехол маме|чехол мне|бритва;999;;88020;88036;16;
;;04.07.2014;пт;500;мобильный;;;16382;зарплата MTI;16882;284;;520;45;мороженое;;;849;;104053;;;
;;05.07.2014;сб;;;;;;;0;;;;26;milkiway;2499|349|280|798|1298|490|4056;сумка|футб|vanish|трусы|шорты|носки|ботинки;9796;;94257;94265;8;
;;06.07.2014;вс;;;;;;;0;;;;320|107;суши|ростикс с Яной;;;427;;93830;;;
;;07.07.2014;пн;;;;;;;0;77;;;;;40|3499|640;5дн|стелька|сандали;4256;;89574;;;
;;08.07.2014;вт;4000|1100|250;ботинки|шорты|vanish;;;;;5350;204;;;;;550;парикмахерская;754;;94170;;;
;;09.07.2014;ср;;;;;;;0;77;;;;;;;77;;94093;94100;7;
;;10.07.2014;чт;;;;;;;0;169;;;;;100;кому-то на работе;269;;93824;;;
;;11.07.2014;пт;;;100;;;;100;288;300;;400|261|300;такси|с Яной|вино;54500;машина(toyota);56049;;37875;37883;8;
;;12.07.2014;сб;;;;;;;0;;500;;;;;;500;;37375;;;
;;13.07.2014;вс;;;;;100;такси;100;;160;;;;;;160;;37315;;;
;;14.07.2014;пн;;;;;;;0;175;;;;;35;маршрутка;210;;37105;;;
;;15.07.2014;вт;;;;;;;0;150;;;;;;;150;;36955;;;
;;16.07.2014;ср;;;200;;;;200;165;;;124|115;ашан|бургер;;;404;;36751;36731;-20;
;;17.07.2014;чт;;;;;;;0;77;;;;;60;моб банкинг;137;;36614;;;
;;18.07.2014;пт;;;;;8622;аванс MTI;8622;185;;;1000|200|95|30;тодасёВано|пиво|крошКарт|такси;25;маршрутка;1535;;43701;;;
;;19.07.2014;сб;;;;;;;0;;;;100|260|100|50;мак|таски|сиги|кола;;;510;;43191;43193;2;
;;20.07.2014;вс;;;;;;;0;;;;;;2500;загран паспорт;2500;;40691;;;
;;21.07.2014;пн;;;;;;;0;88;;;250|250;такси|симка;200|20;подарок Антону|музыканту;808;;39883;;;
;;22.07.2014;вт;;;;;;;0;130;;;27;мороженое;25;маршрутка;182;;39701;;;
;;23.07.2014;ср;;;;;;;0;212;;;;;30;маршрутка;242;;39459;;;
;;24.07.2014;чт;2000;регистрация авто;200;;;;2200;163;;;146;KFC;30|500|600;маршрутка|Ване бенз|регистрация toyota vista;1439;;40220;;;
;;25.07.2014;пт;;;;;;;0;156;;;;;204;магаз;360;;39860;39862;2;
;;26.07.2014;сб;;;;;;;0;;;;262|885|100;вино|коньяк|кола;30;музыканту;1277;;38583;;;
;;27.07.2014;вс;;;;;;;0;;;;100;мак;;;100;;38483;38487;4;
;;28.07.2014;пн;;;1500;;;;1500;209;;;;;;;209;;39774;;;
;;29.07.2014;вт;;;;;;;0;80;;;45;кола;;;125;;39649;;;
;;30.07.2014;ср;;;;;;;0;150;;;;;336;masterhost;486;;39163;;;
;;31.07.2014;чт;;;400;;;;400;95;;;;;40;мороженое бабушке;135;;39428;39442;14;
;;Сумма;;8500;;2400;0;25104;;36004;3644;960;580;5725;;75146;;86055;;;;;
;;Корректировка;14;;;;;;;;;;;;Средний доход в день;1161.4;Средний расход в день;1017.9;;;;;
;;Прибыль по расчету;;4449;Прибыль по деньгам;4463;;;Разница;14;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;39442;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
