;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Август 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;39442;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.08.2014;пт;500;проездной;;;;;500;150;;;;;230|350;проездной тат| проездной на метро;730;;39212;;;
;;02.08.2014;сб;1000;забиту;;;;;1000;;;50;;;100|1000;сестра|забит;1150;;39062;;;
;;03.08.2014;вс;;;;;;;0;;;50;1040|150|150|95;япоша|ТоДаСё|ФедеЗанял|сиги;;;1485;;37577;;;
;;04.08.2014;пн;;;;;;;0;45;;;147;мак;440|121|200;рюмки|бритва|пена для бритья;953;;36624;36623;-1;
;;05.08.2014;вт;;;;;16382;зарплата MTI;16382;97;;50;137|100;sub|chesterfield;;;384;;52622;;;
;;06.08.2014;ср;;;;;;;0;;;50;119;glowSubs;;ТёмеЗаChesterfield|алко;169;;52453;52463;10;
;;07.08.2014;чт;41000;toyotavista(замена двигателя);;;;;41000;150;;50;300;такси;1250|41000|1000;рубашка|toyota(двигатель)|ЗанялВано;43750;;49703;;;
;;08.08.2014;пт;;;;;;;0;;;;200|80|150;за бенз до Клина|мак|наСвадьбе;2000|3000;ТёмеЗаChesterfield|СвадьбаДрона;5430;;44273;;;
;;09.08.2014;сб;;;;;100;Федя(спор);100;;;;200|140|400;электричка|еда|занял федяну;352;торт бабушке;1092;;43281;43286;5;
;;10.08.2014;вс;;;;;4100;продал samsung S2;4100;;;50;140|133;мак|lider;500;onlime;823;;46558;;;
;;11.08.2014;пн;;;300;;;;300;230;;;130;мак;;;360;;46498;;;
;;12.08.2014;вт;;;;;50;Сергей;50;224;;;225;мак;;;449;;46099;;;
;;13.08.2014;ср;;;;;;;0;126;;;;;;;126;;45973;45966;-7;
;;14.08.2014;чт;620|500;мобила|интернет;200;;;;1320;200;;620;;;200|103;симка|мороженое;1123;;46170;;;
;;15.08.2014;пт;;;1000;;;;1000;182;;;;;;;182;;46988;46981;-7;
;;16.08.2014;сб;;;1000;;;;1000;;;;82;сиги;;;82;;47906;;;
;;17.08.2014;вс;;;;;;;0;;500;;145|40;ильпатио|мороженое;39000|60;ВАЗ2115|мобильный банкинг;39745;;8161;;;
;;18.08.2014;пн;;;;;;;0;235;;;82;сиги;100;подарок Артему;417;;7744;7740;-4;
;;19.08.2014;вт;500;стойки Toyota Vista;;;;;500;150;;;1468;Феде(подарок Антону и заМальчишник);1420|35;страховка Ваз 21150|маршрутка;3073;;5171;;;
;;20.08.2014;ср;;;;;8622;аванс MTI;8622;140;;;39|26;кола|автобус;500;стойки Toyota Vista;705;;13088;13089;1;
;;21.08.2014;чт;;;;;;;0;77;;;38;nestea;500|500|69;менту|пошлина за регистрацию|хлеб;1184;;11904;;;
;;22.08.2014;пт;;;;;;;0;162;;;343;мак с Юлей;274|200;ежедневник|подарок сотруднице;979;;10925;10931;6;
;;23.08.2014;сб;100;мобильник;;;100;такси;200;;500;100;;;130|933;СделалКолесоВАЗ|ПродуктыДача;1663;;9462;;;
;;24.08.2014;вс;500;бенз;;;;;500;;500;;;;;;500;;9462;;;
;;25.08.2014;пн;;;;;;;0;157;;;190|32;мак|мороженое;30;маршрутка;409;;9053;9059;6;
;;26.08.2014;вт;1500;на магазин;;;;;1500;85;;;;;;;85;;10468;;;
;;27.08.2014;ср;;;;;9500;Федя;9500;103;;;;;1500;магазин;1603;;18365;;;
;;28.08.2014;чт;;;500;;;;500;185;300;;355;пиво с Владом;950|490|698|8000;наушники|носки|шорты и футболка|Вано;10978;;7887;7888;1;
;;29.08.2014;пт;;;4300;;;;4300;280;;;205;ашан;3790|590|550|565|300;часы|трусы|стрижка|табак|алкозел и 5дн;6280;;5907;5911;4;
;;30.08.2014;сб;;;;;;;0;;;;;;1000|100;алко|пицца;1100;;4807;;;
;;31.08.2014;вс;;;;;;;0;;;;;;;;0;;4807;4811;4;
;;Сумма;;46220;;7300;0;38854;;92374;2978;1800;1020;7081;;114130;;127009;;;;;
;;Корректировка;4;;;;;;;;;;;;Средний доход в день;2979.8;Средний расход в день;4097.1;;;;;
;;;;;Прибыль по деньгам;-34631;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;4811;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
