;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сентябрь 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;4811;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.09.2014;пн;;;;;;;0;;;;;;;;0;;4811;;;
;;02.09.2014;вт;;;;;;;0;;;;;;;;0;;4811;;;
;;03.09.2014;ср;;;;;;;0;;;;;;;;0;;4811;;;
;;04.09.2014;чт;;;;;;;0;;;;;;;;0;;4811;;;
;;05.09.2014;пт;;;;;12809;зарплата MTI;12809;;;;;;2000;сувениры и официантам на чай;2000;;15620;;;
;;06.09.2014;сб;;;;;;;0;;;;55|99;липтон|ростикс;50;тройка;204;;15416;;;
;;07.09.2014;вс;;;;;;;0;;100;;203;шиномонтаж;10000|380;Вано за турцию|аптека;10683;;4733;4745;12;
;;08.09.2014;пн;600;проезной;400;;;;1000;277;;;;;350;проезд на метро;627;;5106;5113;7;
;;09.09.2014;вт;;;;;;;0;195;;;;;230;проезд на ТАТ;425;;4681;;;
;;10.09.2014;ср;;;;;;;0;140;100;200;;;;;440;;4241;4251;10;
;;11.09.2014;чт;;;;1200;44000|4508;ВАЗ2115|степендия;49708;;300;;140;магаз;4000|3000;Вано за турцию|РусланВАЗ2115(долг);7440;;46509;46519;10;
;;12.09.2014;пт;;;;;;;0;214;;;170;сбаро;500|100;на свадьбу Саши и Елисея|антифриз;984;;45525;;;
;;13.09.2014;сб;;;;;;;0;150;;;;;791;масл и антифриз и зуб. Щетка;941;;44584;44557;-27;
;;14.09.2014;вс;;;;;;;0;;100;;;;;;100;;44484;;;
;;15.09.2014;пн;;;;;;;0;230;;;;;25;тетрадь;255;;44229;44203;-26;
;;16.09.2014;вт;500;интернет;1100;;30;саша;1630;185;;;195;сбаро с Димой;500;интернет;880;;44979;;;
;;17.09.2014;ср;;;;;;;0;191;300;;;;60|645|23900;моб.банкинг|лекарства|покупка iPad;25096;;19883;19868;-15;
;;18.09.2014;чт;150;мобильный;;;;;150;140;;250;50;ростикс;5200|100;стекло|Вано;5740;;14293;;;
;;19.09.2014;пт;;;;;7000;аванс MTI;7000;150;;;;;200|700;симка|сестраНаЧехол;1050;;20243;20206;-37;
;;20.09.2014;сб;;;;;150;такси;150;;500;;;;805;аптека(антибиотик);1305;;19088;;;
;;21.09.2014;вс;;;500;;;;500;;600;;;;69;спирт для кампресса;669;;18919;;;
;;22.09.2014;пн;;;;;;;0;160;;;;;;;160;;18759;18723;-36;
;;23.09.2014;вт;;;;;;;0;155;;;;;;;155;;18604;;;
;;24.09.2014;ср;;;;1200;;;1200;;;;;;;;0;;19804;;;
;;25.09.2014;чт;;;;;;;0;20;;;;;180;аптекаМезим;200;;19604;;;
;;26.09.2014;пт;;;;;;;0;198;;50;;;1200;турциявсё;1448;;18156;18163;7;
;;27.09.2014;сб;;;;;;;0;;400;;468;с Кристиной;45;йогурт;913;;17243;;;
;;28.09.2014;вс;;;;;;;0;;;;206;мак;2690;SSD для дома;2896;;14347;;;
;;29.09.2014;пн;;;;;;;0;59;;;;;;;59;;14288;;;
;;30.09.2014;вт;;;;;;;0;170;;;;;300;на подарки;470;;13818;13827;9;
;;Сумма;;1250;;2000;2400;68497;;74147;2634;2400;500;1586;;58020;;65140;;;;;
;;Корректировка;9;;;;;;;;;;;;Средний доход в день;2391.8;Средний расход в день;2101.3;;;;;
;;Прибыль по расчету;;9007;Прибыль по деньгам;9016;;;Разница;9;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;13827;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
