;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Октябрь 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;13827;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.10.2014;ср;;;;1200;100;такси;1300;;;;;;100;сестре на салат;100;;15027;;;
;;02.10.2014;чт;100;мобильный;;;;;100;;;100;535;с Кристиной;100;на карту Тройка;735;;14392;;;
;;03.10.2014;пт;600;проездной;400;;12321;зарплата MTI;13321;290;;;;;350;проездной на мерто;640;;27073;27073;0;
;;04.10.2014;сб;;;;;;;0;;400;;600|800;цветы|с Кристиной;423|100;бабушке|коммисияСбербанка;2323;;24750;24750;0;
;;05.10.2014;вс;;;;;;;0;;;;34;жвачка;;;34;;24716;;;
;;06.10.2014;пн;;;;;;;0;260;;;;;10;планшет;270;;24446;;;
;;07.10.2014;вт;;;;;;;0;215;;100;100|25|600|600;сиги|дирол|цветы|с Кристной;25;маршрутка;1665;;22781;22781;0;
;;08.10.2014;ср;;;;;10000;Наталья Владимировна;10000;;;;102|150;торт|сабвей;1300|70|3000;краска и лак и грунтовка|незамерзайка|3билета25/17;4622;;28159;28159;0;
;;09.10.2014;чт;;;;;;;0;142;;;;;;;142;;28017;;;
;;10.10.2014;пт;5800;на лечение зуба;;;;;5800;;400;;106|119|73;магаз|саб|бабушке;54|5120|265;зведочка|удаление зуба|аптека;6137;;27680;27677;-3;
;;11.10.2014;сб;;;;;100;такси;100;100;500;100;198;перекрёсток;5300|157;шины с установкой|аптека;6355;;21425;;;
;;12.10.2014;вс;300;бенз;;;;;300;;414;;;;;;414;;21311;;;
;;13.10.2014;пн;;;;;;;0;242;;;98;мак;;;340;;20971;20981;10;
;;14.10.2014;вт;;;200;;2254;степендия;2454;189;;;;;;;189;;23236;;;
;;15.10.2014;ср;;;;;100;Женя;100;107;400;;124|48|635;шоколадки|мак|с Кристиной;600;парихмахерская;1914;;21422;21428;6;
;;16.10.2014;чт;;;;;;;0;;;;;;1800;билеты на Centr;1800;;19622;;;
;;17.10.2014;пт;6300;куртка и шапка;;;;;6300;;;;;;60|5499|599;моб.банкинг|куртка|шапка;6158;;19764;19770;6;
;;18.10.2014;сб;100;мобильный;;;;;100;;;100;586;бухло;10;метро;696;;19168;;;
;;19.10.2014;вс;;;;;;;0;;;;25|620|125;жвачка|цветы|магаз;;;770;;18398;;;
;;20.10.2014;пн;;;;;8622;аванс MTI;8622;30;;;;;200;Саше на подарок;230;;26790;;;
;;21.10.2014;вт;;;80;;;;80;35;;;;;35;салфетки и лимон;70;;26800;26806;6;
;;22.10.2014;ср;;;;1200;;;1200;;;;53|48;муму|мак;;;101;;27899;;;
;;23.10.2014;чт;;;400;;;;400;44;;;150|34|25|500;магаз|сырок|жвачка|кино;50|100;проезд|Женя;903;;27396;;;
;;24.10.2014;пт;;;;;;;0;45;;100;65|400|192;пиво|тодасе|мак;50;добавка на подарок Саше;852;;26544;26558;14;
;;25.10.2014;сб;;;;;;;0;;300;;30;жвачка;69|3000|180;5дней|билеты на skillet|холодец бабушке;3579;;22965;22981;16;
;;26.10.2014;вс;;;;;500;такси;500;;300;;468|70;мак|пронто;;;838;;22627;;;
;;27.10.2014;пн;;;188;;;;188;127;;;;;;;127;;22688;;;
;;28.10.2014;вт;;;100;;;;100;105;;;;;259;авито репетитор;364;;22424;;;
;;29.10.2014;ср;;;200;1200;;;1400;10;;;169;мак;;;179;;23645;23656;11;
;;30.10.2014;чт;;;;;;;0;150;300;50;550|27|335|41;цветы|жвачка|мак с кристи|пикник;;;1453;;22192;;;
;;31.10.2014;пт;2800;медсправка в ГАИ;200;;16382;зарплата MTI;19382;65;;;167;мак;2700;медсправка в ГАИ;2932;;38642;38644;2;
;;Сумма;;16000;;1768;3600;50379;;71747;2156;3014;550;9627;;31585;;46932;;;;;
;;Корректировка;2;;;;;;;;;;;;Средний доход в день;2314.4;Средний расход в день;1513.9;;;;;
;;Прибыль по расчету;;24815;Прибыль по деньгам;24817;;;Разница;2;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;38644;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
