;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Ноябрь 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;38644;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.11.2014;сб;;;;;500;такси;500;108;600;50;27;жвачка;315|424;dextron для ГУР|психоневролог диспансер;1524;;37620;37620;0;
;;02.11.2014;вс;;;;;;;0;;;;;;;;0;;37620;;;
;;03.11.2014;пн;700;на проездной;;;;;700;;;;30|47|60|350;жвачка|мак|липтон|такси;350|230;проез на метро|проезд на автобус;1067;;37253;;;
;;04.11.2014;вт;;;;;;;0;;;;135|100;магаз|kfc;;;235;;37018;37018;0;
;;05.11.2014;ср;100;мобила;;2400;;;2500;108;;173;42|40;магаз|хлеб;700|300;псих диспансер|мойка авто;1363;;38155;38168;13;
;;06.11.2014;чт;;;200;;;;200;213;;;197|49|500;перекресток|мак|кино с Кристиной;100;коммисия Сбербанка;1059;;37296;;;
;;07.11.2014;пт;;;;;1800;за билеты;1800;89;;;95;еда в ашане;;;184;;38912;;;
;;08.11.2014;сб;;;1000;;;;1000;10;300;;313;мак;15000;Взятка за права;15623;;24289;24286;-3;
;;09.11.2014;вс;;;;;;;0;;;;38|1000|378|45|350;жвачка|днибудущ|KFC|kinder|такси;;;1811;;22478;;;
;;10.11.2014;пн;;;;;;;0;135;;;207;пиво;;;342;;22136;22133;-3;
;;11.11.2014;вт;;;;;;;0;93;;;971|300;якитория|такси;198|320;каметон и антимакс|ацилокаксинум;1882;;20254;;;
;;12.11.2014;ср;;;1500;1400;;;2900;;300;;;;;;300;;22854;;;
;;13.11.2014;чт;;;;;;;0;;;;77|550;магаз|цветы;;;627;;22227;;;
;;14.11.2014;пт;;;;;2254;степендия;2254;236;;;;;160|200|139;гексорал табс|подарок Ане(на работе)|Ингалипт;735;;23746;23748;2;
;;15.11.2014;сб;;;;;;;0;;;;400;kilfish;5000;Колян;5400;;18346;;;
;;16.11.2014;вс;3000;на продукты;;;;;3000;;300;;179;бургеркинг;944;продукты домой и бабушке;1423;;19923;;;
;;17.11.2014;пн;;;;;;;0;205;;50;;;60;мобильный банк;315;;19608;19610;2;
;;18.11.2014;вт;;;;;;;0;220;;;;;700|618;справка по физре|продукты домой;1538;;18070;;;
;;19.11.2014;ср;;;;3400;100;такси;3500;;;50;17;жвачка;;;67;;21503;21506;3;
;;20.11.2014;чт;;;;;8622;аванс MTI ;8622;152;;;;;;;152;;29973;;;
;;21.11.2014;пт;;;;;;;0;180;;;119;саб;45|200|5000|100|666|199|41;5дн|на ДР|за права|сырки|дикси|продукты|маршрутка;6550;;23423;23426;3;
;;22.11.2014;сб;;;;;;;0;;300;50;95|12;сиги|мак;1000;др у Сани Гаврилина;1457;;21966;21972;6;
;;23.11.2014;вс;;;;;;;0;;100;;;;403|250;продукты|мойка;753;;21213;;;
;;24.11.2014;пн;;;;;;;0;214;;50;28;зажигалка;;;292;;20921;;;
;;25.11.2014;вт;;;;;;;0;;;;22;леденцы;;;22;;20899;20907;8;
;;26.11.2014;ср;;;200;1200;;;1400;;200;50;199;бургеркинг;;;449;;21850;;;
;;27.11.2014;чт;;;;;;;0;289;300;;135;мишка Кристюше;5000;отдал Владу долг;5724;;16126;;;
;;28.11.2014;пт;;;200;;;;200;200;;;;;;;200;;16126;16138;12;
;;29.11.2014;сб;;;180;;5000;Колян;5180;135;;;140|300;купоны|с Владом;;;575;;20731;;;
;;30.11.2014;вс;650;проезной;;1200;;;1850;;;50;;;;;50;;22531;22543;12;
;;Сумма;;4450;;3280;9600;18276;;35606;2587;2400;523;7547;;38662;;51719;;;;;
;;Корректировка;12;;;;;;;;;;;;Средний доход в день;1186.9;Средний расход в день;1724;;;;;
;;Прибыль по расчету;;-16113;Прибыль по деньгам;-16101;;;Разница;12;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;22543;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
