;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Декабрь 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;22543;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.12.2014;пн;;;;;;;0;238;;;;;350;проездной на метро;588;;21955;;;
;;02.12.2014;вт;;;200;;;;200;168;;50;20|600|348;жвачка|кино с Кристи|мак;85|230|30;ЕлисеюЗаПиццу|проездной ТАТ|маршрутка;1531;;20624;20630;6;
;;03.12.2014;ср;;;;2400;;;2400;;200;;;;;;200;;22824;;;
;;04.12.2014;чт;;;200;;;;200;221;;;;;;;221;;22803;;;
;;05.12.2014;пт;790;на бумажник;810;;16382;зарплата MTI;17982;165;;;;;;;165;;40620;40624;4;
;;06.12.2014;сб;;;;;;;0;196;200;100;95|70|300;сиги|купонЯпоша|Япоша;790|1500|27;бумажник|подарокВике|хлеб;3278;;37342;37346;4;
;;07.12.2014;вс;;;;;;;0;;;;250;с Кристиной;;;250;;37092;;;
;;08.12.2014;пн;;;;;;;0;224;;;;;194;аптека;418;;36674;;;
;;09.12.2014;вт;;;;;;;0;215;;;100;сиги;;;315;;36359;36357;-2;
;;10.12.2014;ср;;;200;;2254;степендия;2454;;500;;;;;;500;;38313;;;
;;11.12.2014;чт;;;;;;;0;;500;100;100|272|82;сиги|мак|дикси;1500;прихолог (Котлов);2554;;35759;;;
;;12.12.2014;пт;;;;;500;Миша на такси;500;115;;;189|99|350|94|500;kfc|сиги|сМишейвино|мак|такси;1000|30;психолог (Сергей)|маршрутка;2377;;33882;33883;1;
;;13.12.2014;сб;;;;;;;0;;;;540;il mia кафе;200|800;щетка для машины от снега|пошлина за права;1540;;32342;;;
;;14.12.2014;вс;;;;1200;;;1200;;;;99;сиги;2310|110;видеокарта|седьмой континент;2519;;31023;31022;-1;
;;15.12.2014;пн;;;200;;;;200;105;;;;;;;105;;31118;;;
;;16.12.2014;вт;;;;;;;0;248;;100;;;300;подарок Олегу(скидывались);648;;30470;;;
;;17.12.2014;ср;;;;1200;;;1200;;;;55|99;бургеркинг|сиги;60|40;моб банкинг|распечатка фото;254;;31416;;;
;;18.12.2014;чт;;;;;;;0;203;300;;50;распечатка купонов;2000|4600;подарок колобкову|подарок Мамочке на НГ;7153;;24263;24264;1;
;;19.12.2014;пт;;;;;8623|2940;MTI аванс|степендия;11563;109;;;99;сиги;;;208;;35618;;;
;;20.12.2014;сб;;;;;;;0;49;;;;;;;49;;35569;;;
;;21.12.2014;вс;;;;;;;0;;;;;;800;repetitormap;800;;34769;;;
;;22.12.2014;пн;;;;;;;0;189;;;178;бургеркинг;3500;одолжил Федосу;3867;;30902;30900;-2;
;;23.12.2014;вт;;;;;;;0;109;;100;103;сиги;577;наушники;889;;30013;;;
;;24.12.2014;ср;;;;;850;Стас сдача с Колобка;850;;;;566;кружка с Вано;;;566;;30297;;;
;;25.12.2014;чт;;;;;;;0;214;;;89;сиги;95;печать в бауманке;398;;29899;;;
;;26.12.2014;пт;;;;;28039;MTI;28039;182;;;;;1000;ремонт печки toyota vista;1182;;56756;56751;-5;
;;27.12.2014;сб;;;;;;;0;158;500;100;231|103;мак|сиги;537;парихмахерская;1629;;55127;;;
;;28.12.2014;вс;;;;1200;;;1200;;;;;;35;маршрутка;35;;56292;;;
;;29.12.2014;пн;;;100;;;;100;247;;;;;;;247;;56145;56134;-11;
;;30.12.2014;вт;;;;;3500;отдал долг Федян ;3500;174;;;99;сиги;729;шампанское на нг;1002;;58643;;;
;;31.12.2014;ср;;;;;;;0;;500;100;206;техас chicken;2968;подарк Кристине;3774;;54869;54860;-9;
;;Сумма;;790;;1710;6000;63088;;71588;3529;2700;650;5986;;26397;;39262;;;;;
;;Корректировка;-9;;;;;;;;;;;;Средний доход в день;2309.3;Средний расход в день;1266.5;;;;;
;;Прибыль по расчету;;32326;Прибыль по деньгам;32317;;;Разница;-9;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;54860;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
