;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Январь 2014;;сейф+(сбер+QIWI)+cash;;;;;;;;;;;;;;;;;ТС по расчету;ТС по деньгам;Разница;
;;Стартовый капитал;;54860;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Доходы ;;;;;;;Расходы;;;;;;;;;;;;;
;;Дата;д/н;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;MTI;Универ;бенз;Моб;Гулянки;;Другие расходы;;Всего;;;;;
;;01.01.2015;чт;;;;;;;0;;;;;;;;;0;;54860;;;
;;02.01.2015;пт;;;;;;;0;;;;;;;;;0;;54860;;;
;;03.01.2015;сб;;;;1600;;;1600;;;;;25|103|164;жвачка|сиги|сабвей;35;маршрутка;327;;56133;;;
;;04.01.2015;вс;;;;;;;0;;;;;145|1247|50|40;мак|ясмин караоке|nestea|вода;350|600;проездной на метро|такси;2432;;53701;;;
;;05.01.2015;пн;;;;1200;;;1200;;;;;;;;;0;;54901;54906;5;
;;06.01.2015;вт;;;;;;;0;;;;100;105|1205;сиги|япоша;;;1410;;53491;;;
;;07.01.2015;ср;;;;;;;0;;;;;;;;;0;;53491;;;
;;08.01.2015;чт;;;;;;;0;;;;;97;мак;230;тат;327;;53164;;;
;;09.01.2015;пт;;;2500;1200;;;3700;;;500;;517|103;япоша|сиги;;;1120;;55744;55749;5;
;;10.01.2015;сб;100;iPad;;;;;100;;136;;;111;мак;100|1000;iPad|занял Ване;1347;;54497;54502;5;
;;11.01.2015;вс;;;;;;;0;;;;;97;мак;;;97;;54400;;;
;;12.01.2015;пн;;;;;;;0;154;;;;212;мак;;;366;;54034;;;
;;13.01.2015;вт;700;проездной;;1200;;;1900;253;;;;103;сиги;270;подарок Саше Ступакову;626;;55308;55313;5;
;;14.01.2015;ср;;;;;;;0;;;;100;210;мак;3270|3030|1180|340;материнская плата|процессор|DDR3 2GB|кулер;8130;;47178;;;
;;15.01.2015;чт;;;;;;;0;;182;300;;;;;;482;;46696;;;
;;16.01.2015;пт;;;;;;;0;152;;;;;;;;152;;46544;;;
;;17.01.2015;сб;150;мобильный;;;;;150;;;;150;99;сиги;60;мобильный банк;309;;46385;;;
;;18.01.2015;вс;;;;;;;0;;;;;;;;;0;;46385;46390;5;
;;19.01.2015;пн;;;200;;;;200;35;158;;;;;1000|150;хавка на дачу|подарок Гале (на работе);1343;;45242;;;
;;20.01.2015;вт;;;;;8622;аванс MTI;8622;170;;;;;;6999|999;зимние ботинки ECCO| толстовка PULL&BEAR;8168;;45696;;;
;;21.01.2015;ср;300;на мойку opel astra;;;1000|400;вернул Ваня|вернул Стас лишнее;1700;;;400;;99|500|400|700|246;сиги|прокат сноуборда|парк волен|алко|мак;400|1088|412;мойка opel astra|пылесос для машины|ашан;4245;;43151;;;
;;22.01.2015;чт;;;;;;;0;;;;;;;;;0;;43151;43156;5;
;;23.01.2015;пт;;;90;;;;90;164;;;;;;;;164;;43077;43082;5;
;;24.01.2015;сб;;;;1200;;;1200;;;300;50;95|57;сиги|мак;;;502;;43775;;;
;;25.01.2015;вс;;;;;600;занял Ваня;600;;;;100;48|600|100|300;мак|crazy daizy|мак|такси;;;1148;;43227;;;
;;26.01.2015;пн;;;;;;;0;178;;;;;;600;отдал Ване;778;;42449;42455;6;
;;27.01.2015;вт;;;124;1200;;;1324;180;;;;;;;;180;;43593;;;
;;28.01.2015;ср;;;200;;;;200;;;;;96|250;сиги|япоша;41100|150;600$ по курсу 68.5|занял Владу;41596;;2197;2198;1;
;;29.01.2015;чт;;;;;;;0;;;;;;;;;0;;2197;;;
;;30.01.2015;пт;;;;;;;0;;;;;;;;;0;;2197;;;
;;31.01.2015;сб;;;;;;;0;;;;;;;;;0;;2197;;;
;;Сумма;;1250;;3114;7600;10622;;22586;1286;476;1500;500;8124;;63363;;75249;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;Корректировка;;;;;;;;;;;;;;;;;;;;;;
;;Всего получено;22586;;;;;;;;;;;;;;;;;;;;;
;;Всего потрачено;75249;;;;;;;;;;;;;;;;;;;;;
;;Прибыль;-52663 ;;;;;;;;;;;;;;;;;;;;;
;;Стартовый капитал;54860;;;;;;;;;;;;;;;;;;;;;
;;Конечный капитал;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
