Дата;Мама;;Мама (PM);Ученики;Другие доходы;;MTI;бенз;Моб;Гулянки;;Другие расходы;
01.08.2014;500;проездной;;;;;150;;;;;230|350;проездной тат| проездной на метро
02.08.2014;1000;забиту;;;;;;;50;;;100|1000;сестра|забит
03.08.2014;;;;;;;;;50;1040|150|150|95;япоша|ТоДаСё|ФедеЗанял|сиги;;
04.08.2014;;;;;;;45;;;147;мак;440|121|200;рюмки|бритва|пена для бритья
05.08.2014;;;;;16382;зарплата MTI;97;;50;137|100;sub|chesterfield;;
06.08.2014;;;;;;;;;50;119;glowSubs;;ТёмеЗаChesterfield|алко
07.08.2014;41000;toyotavista(замена двигателя);;;;;150;;50;300;такси;1250|41000|1000;рубашка|toyota(двигатель)|ЗанялВано
08.08.2014;;;;;;;;;;200|80|150;за бенз до Клина|мак|наСвадьбе;2000|3000;ТёмеЗаChesterfield|СвадьбаДрона
09.08.2014;;;;;100;Федя(спор);;;;200|140|400;электричка|еда|занял федяну;352;торт бабушке
10.08.2014;;;;;4100;продал samsung S2;;;50;140|133;мак|lider;500;onlime
11.08.2014;;;300;;;;230;;;130;мак;;
12.08.2014;;;;;50;Сергей;224;;;225;мак;;
13.08.2014;;;;;;;126;;;;;;
14.08.2014;620|500;мобила|интернет;200;;;;200;;620;;;200|103;симка|мороженое
15.08.2014;;;1000;;;;182;;;;;;
16.08.2014;;;1000;;;;;;;82;сиги;;
17.08.2014;;;;;;;;500;;145|40;ильпатио|мороженое;39000|60;ВАЗ2115|мобильный банкинг
18.08.2014;;;;;;;235;;;82;сиги;100;подарок Артему
19.08.2014;500;стойки Toyota Vista;;;;;150;;;1468;Феде(подарок Антону и заМальчишник);1420|35;страховка Ваз 21150|маршрутка
20.08.2014;;;;;8622;аванс MTI;140;;;39|26;кола|автобус;500;стойки Toyota Vista
21.08.2014;;;;;;;77;;;38;nestea;500|500|69;менту|пошлина за регистрацию|хлеб
22.08.2014;;;;;;;162;;;343;мак с Юлей;274|200;(ежедневник|ручки)|подарок сотруднице
23.08.2014;100;мобильник;;;100;такси;;500;100;;;130|933;СделалКолесоВАЗ|ПродуктыДача
24.08.2014;500;бенз;;;;;;500;;;;;
25.08.2014;;;;;;;157;;;190|32;мак|мороженое;30;маршрутка
26.08.2014;1500;;;;;;85;;;;;;
27.08.2014;;;;;9500;Федя;103;;;;;1500;магазин
28.08.2014;;;500;;;;185;300;;355;пиво с Владом;950|490|698|8000;наушники|носки|шорты и футболка|Вано
29.08.2014;;;4300;;;;280;;;205;ашан;3790|590|550|565|300;часы|трусы|стрижка|табак|алкозел и 5дн
30.08.2014;;;;;;;;;;;;1000|100;алко|пицца
31.07.2014;;;;;;;;;;;;;
