Дата;Мама;;Мама (PM);Ученики;Другие доходы;;Универ;бенз;Моб;Гулянки;;Другие расходы;
01.02.2014;630;Проезд(татИметр);;;;;;;;286|86;с Аней|сиги;230;проезд на автобус
02.02.2014;;;;2200;;;;;;;;;
03.02.2014;;;;1100;;;;;;285;с Аней );;
04.02.2014;;;;;;;;;;200;бургеркинг;500;долг Владу
05.02.2014;;;400;2300;;;;200;;;;;
06.02.2014;;;;;200;такси;;;;100|86;Щупы|Сиги;1500;Сход/развал
07.02.2014;;;;;;;;200;;;;;
08.02.2014;;;;;;;88;;;500;Кружка;;
09.02.2014;;;;2200;;;;;;86;Сиги;;
10.02.2014;;;;;;;;150;100;1200|50;Яхрома(горные лыжи)|iPad;;
11.02.2014;;;;;;;80;;;;;;
12.02.2014;;;3000;;2156;степендия;30;;;;;;
13.02.2014;100;мобила;100;;;;65;;100;76;сиги;;
14.02.2014;;;;;100;такси;70;;;90;сиги;;
15.02.2014;;;;;;;;200;;90;сиги;;
16.02.2014;;;;1200;;;;;;111;бабушка;;
17.02.2014;;;;1100;1000;НаталВладимир за 2ф(серSбелM);185;200;;30|86;вода|сиги;60;смс банкинг
18.02.2014;;;;1000;500;Миша на бенз за переезд ;;300;;8;жига;;
19.02.2014;;;1000;;;;169;;15;;;33;марс
20.02.2014;100;мобила;;;;;;;100;300;мак;50;поездки
21.02.2014;;;;1100;500;футболка РХТУ белая L;;;;86;сиги;160;защелки зад сидения
22.02.2014;;;;;;;75;;;;;;
23.02.2014;;;;1200;;;;200;;;;;
24.02.2014;;;;1100;;;;;;158;сабвей;80;проезд
25.02.2014;100;мобила;;;500;футболка РХТУ серая S;100;;100;;;107;Федян Авито
26.02.2014;;;;;;;133;;;86;сиги;;
27.02.2014;;;;;107;Федян авито;150;200;;;;;
28.02.2014;;;;;;;150;;;86;сиги;;
