Дата;Мама;;Мама (PM);Ученики;Другие доходы;;Универ;бенз;Моб;Гулянки;;Другие расходы;
01.01.2014;;;2000;;;;;;;86;сиги;;
02.01.2014;;;200;;;;;;;140|60|200;кафе|сиги|хавка;;
03.01.2014;;;;;;;;250;;;;22;хлеб
04.01.2014;;;;;1500|200;Федян|такси;;;;100|130|86|150|50|1100;Кафе|Мак|Сиги|КафеЗавтра|Мак|CrazyDaizy;;
05.01.2014;;;;;;;;;;;;750;мастерхост  3 месяца
06.01.2014;;;;;;;;300;;100|86|14;iPad|сиги|вода;;
07.01.2014;;;;;;;;;;;;;
08.01.2014;;;;;;;;;;;;;
09.01.2014;;;200;;;;;;;;;;
10.01.2014;;;;1200;;;;;100;86;сиги;;
11.01.2014;;;;;;;;;;;;8500;агенство недвижимости
12.01.2014;;;;1000;;;;200;;;;;
13.01.2014;100;iPad;;1100;;;;;;100;iPad;;
14.01.2014;200;Мобила;;;;;;;200;86|164;сиги|мак;;
15.01.2014;;;;;;;;;;;;;
16.01.2014;;;;1200;;;183;200;;;;150;аптека
17.01.2014;;;2000;;;;191;200;;200|200;еда|алко;2000;ДТП с маздой
18.01.2014;;;;;;;;;;20;проезд;;
19.01.2014;;;;2200;;;;;;;;;
20.01.2014;;;;;;;;;;20|170;жига|бургеркинг;63;рамка на номера
21.01.2014;100;Мобила;;;;;170;300;100;80;сиги;190;поводок на ВАЗ 2115
22.01.2014;100;iPad;;;;;150;;;100;iPad;;
23.01.2014;7110|100;зубы|мобила;190;2300;;;;;100;50|28|450;метро|чай|Пати в Общаге;;
24.01.2014;;;;1200;;;;;;100|100;сиги|мак;;
25.01.2014;;;;;;;;;;;;;
26.01.2014;;;;2200;;;;;;;;;
27.01.2014;;;;1100;;;;;;86|110;сиги|саб;60;поездки
28.01.2014;500;стрижка;500;;;;175;;;150|360;саб|бухло в Меге;500|135|2000|150|500;стрижка|поездки|джинсы|футболка|нижнеебельё
29.01.2014;;;;1100;;;;;;;;;
30.01.2014;100;Мобила;500;;;;;300;100;110|195;воппер|бабушке;1070;расходники для Ваз2115
31.01.2014;;;880;;;;;200;;;;1490|1200;радиатор|ремонт
