Дата;Мама;;Мама (PM);Ученики;Другие доходы;;MTI;бенз;Моб;Гулянки;;Другие расходы;
01.07.2014;650;проездной;;;;;170;;20;;;230|50;проезнойТАТ|тройка
02.07.2014;;;;;;;170;;20;100;с Яной;350;проезнойМетро
03.07.2014;;;;;;;170;;20;17|10;мороженое|маме;400|235|147;чехол маме|чехол мне|бритва
04.07.2014;500;мобильный;;;16382;зарплата MTI;284;;520;45;мороженое;;
05.07.2014;;;;;;;;;;26;milkiway;2499|349|280|798|1298|490|4056;сумка|футб|vanish|трусы|шорты|носки|ботинки
06.07.2014;;;;;;;;;;320|107;суши|ростикс с Яной;;
07.07.2014;;;;;;;77;;;;;40|3499|640;5дн|стелька|сандали
08.07.2014;4000|1100|250;ботинки|шорты|vanish;;;;;204;;;;;550;парикмахерская
09.07.2014;;;;;;;77;;;;;;
10.07.2014;;;;;;;169;;;;;100;кому-то на работе
11.07.2014;;;100;;;;288;300;;400|261|300;такси|с Яной|вино;54500;машина(toyota)
12.07.2014;;;;;;;;500;;;;;
13.07.2014;;;;;100;такси;;160;;;;;
14.07.2014;;;;;;;175;;;;;35;маршрутка
15.07.2014;;;;;;;150;;;;;;
16.07.2014;;;200;;;;165;;;124|115;ашан|бургер;;
17.07.2014;;;;;;;77;;;;;60;моб банкинг
18.07.2014;;;;;8622;аванс MTI;185;;;1000|200|95|30;тодасёВано|пиво|крошКарт|такси;25;маршрутка
19.07.2014;;;;;;;;;;100|260|100|50;мак|таски|сиги|кола;;
20.07.2014;;;;;;;;;;;;2500;загран паспорт
21.07.2014;;;;;;;88;;;250|250;такси|симка;200|20;подарок Антону|музыканту
22.07.2014;;;;;;;130;;;27;мороженое;25;маршрутка
23.07.2014;;;;;;;212;;;;;30;маршрутка
24.07.2014;2000;регистрация авто;200;;;;163;;;146;KFC;30|500|600;маршрутка|Ване бенз|регистрация toyota vista
25.07.2014;;;;;;;156;;;;;204;магаз
26.07.2014;;;;;;;;;;262|885|100;вино|коньяк|кола;30;музыканту
27.07.2014;;;;;;;;;;100;мак;;
28.07.2014;;;1500;;;;209;;;;;;
29.07.2014;;;;;;;80;;;45;кола;;
30.07.2014;;;;;;;150;;;;;336;masterhost
31.07.2014;;;400;;;;95;;;;;40;мороженое бабушке
