Дата;Мама;;Мама (PM);Ученики;Другие доходы;;Универ;бенз;Моб;iPad;Гулянки;;Другие расходы;
01.06.2014;;;;1200;;;;;8;;;;350;проездной
02.06.2014;500;мобильный;;;;;242;;520;;;;;
03.06.2014;;;200;;;;155;;;;250|90;с Дашей|мак;42;щетка
04.06.2014;;;;;;;165;;;;;;990|780|20;сумка|очки|маршр
05.06.2014;;;200;;15000;iPad;157;;;;50;липтон;2000|200;колобкову|такси
06.06.2014;;;;;;;;;;;650|1500;пицца на раб| с Яной;;
07.06.2014;;;200;;;;154;;;;166|100;пиво|мак;23|45;музыканту|морож
08.06.2014;;;;;;;;;;;93;техас чикен;;
09.06.2014;;;200;;2254;степендия;175;;;;258;мак;;
10.06.2014;;;1000;;;;137;;;;;;;
11.06.2014;;;;;;;110;;;;37;kitkat;;
12.06.2014;;;;;;;;;;;;;;
13.06.2014;;;300;;;;;;;;95|40;сиги|липтон;81;мороженое
14.06.2014;;;;;;;;;;;;;;
15.06.2014;;;;;;;84;;;;35|14;морож;;
16.06.2014;;;;;;;162;;;;132;мак;68;магаз
17.06.2014;;;200;;;;158;;;;27;kitkat;200|35|60;паспорт|маршр|моб.банк
18.06.2014;;;1000;;2254;степендия;168;;32;;130;мак;1200|900;RepetitorMap|masterhost
19.06.2014;;;;;;;202;;10;;1475;с Яной(кино);50|150;5 дней|зуб. щетка
20.06.2014;;;;;8622;аванс;300;;40;;637;выпускной;100;морож
21.06.2014;;;;;;;;;;;577;с Яной(пг магаз коньяк);17300;iphone 5C 32GB
22.06.2014;;;;;150;кто-то на тел;;;150;;;;410;аптека
23.06.2014;;;;;;;150;;;;;;;
24.06.2014;;;;;;;150;;;;271|500|100;мак|тодасе(др федоса)|такси;100;коммисия сбербанка
25.06.2014;;;;;;;180;;;;155|20|191|109;мак|жвачк|мак|саб;200;подарок Диме
26.06.2014;;;;;;;180;;;;;;;
27.06.2014;;;1000;;;;337;;;;150|200|350;мак|входВCrazy|б52;;
28.06.2014;;;;;;;;;;;428;с Яной;;
29.06.2014;;;;;;;;;;;;;1000|50;маме подарок | 5дней
30.06.2014;;;2000;;;;170;;20;;;;200|30;клубника|маршрутка
