Дата;Мама;;Мама (PM);Ученики;Другие доходы;;Универ;бенз;Моб;iPad;Гулянки;;Другие расходы;
01.05.2014;;;;;;;;;20;;10;музыканту;192;седьм. конт.
02.05.2014;;;;;;;;;;;;;;
03.05.2014;;;;;;;;;20;;26|37;kitkat|морож;;
04.05.2014;;;;;;;;300;10;;130;мак;57;паяльная кислота
05.05.2014;;;;1200;;;174;;10;;;;;
06.05.2014;350;;;1100;;;164;;20;;38;марс;350|100;Проездной|Вано
07.05.2014;;;;1100;100;Вано отдал;20;;;;100|90|40;пиво|мак|марс;;
08.05.2014;100|250|500;тройка|моб|инет;100;1200;;;;;115;;;;35|188;седьм. конт.|ашан
09.05.2014;;;;;;;;500;;;;;;
10.05.2014;800|200|100;моб|бенз|мак;;;;;;500;100;;212;мак с сестрой;50;кто-то забрал
11.05.2014;;;;;300;такси;;;;;32|110|26;морож|бургер|йогурт;;
12.05.2014;;;;;2254;степендия;168;;;14;79|162;nastea|продукты;;
13.05.2014;;;;;;;;;;;96|60|453|460;магаз|сиги|тодасе|кафе;209;лекарство Эвкалипт
14.05.2014;;;;;;;148;;;14;35;кофе;;
15.05.2014;;;;;200;такси;;400;;14;35;кофе;180|32;Анвимакс|терафлю
16.05.2014;;;6000;;;;127;;;;22;морож;35;маршрутка
17.05.2014;;;;;;;130;;;;211|105|37;спб|мак|марс;60;моб. банкинг
18.05.2014;;;;1200;;;;;;;15;мороженное;35;маршрутка
19.05.2014;;;;;;;134;;;;;;20|109|200;автобус|аптека|Вано
20.05.2014;;;;;;;;;;;65;nestea;45|300|1070|35|500;мршр|спрвк|ВИЧ|мрш|стрижк
21.05.2014;;;;1200;100;Вано отдал;;;;;37|15|100|129;твикс|мрж|пиво|Яна;95|350;маршр|фото
22.05.2014;2000;анализы|стрижка;1000;;90;Вано пиво;;;;;120|32;пиво|морож;2000;ремонт двигателя
23.05.2014;100;мобила;;;150|100;Вано|Яна занял;148;;200;;100|330|354|105|389;Тануки|подрк|мак|сиги|Вино;100;каплиВнос
24.05.2014;;;;;;;98;300;;;;;;
25.05.2014;;;500;;;;;700;;;;;92|45;вода|салфетки
26.05.2014;;;;;;;;;;;;;;
27.05.2014;;;;;;;;;;;;;56;проезд
28.05.2014;350;проездной;50;;;;130;;;;;;50;проезд
29.05.2014;;;;1200;;;150;300;;;27;морож;;
30.05.2014;;;;;45000;продал ВАЗ 2115;106;;;;178;сабвей;100|200;тройка|долгВано
31.05.2014;;;1100;;;;173;;16;;250|400|92|440;killfish|ПослДеньг|Мак|Вино;;
