Дата;Мама;;Мама (PM);Ученики;Другие доходы;;MTI;бенз;Моб;Гулянки;;Другие расходы;
01.11.2014;;;;;500;такси;108;600;50;27;жвачка;315|424;dextron для ГУР|психоневролог диспансер
02.11.2014;;;;;;;;;;;;;
03.11.2014;700;на проездной;;;;;;;;30|47|60|350;жвачка|мак|липтон|такси;350|230;проез на метро|проезд на автобус
04.11.2014;;;;;;;;;;135|100;магаз|kfc;;
05.11.2014;100;мобила;;2400;;;108;;173;42|40;магаз|хлеб;700|300;псих диспансер|мойка авто
06.11.2014;;;200;;;;213;;;197|49|500;перекресток|мак|кино с Кристиной;100;коммисия Сбербанка
07.11.2014;;;;;1800;за билеты;89;;;95;еда в ашане;;
08.11.2014;;;1000;;;;10;300;;313;мак;15000;Взятка за права
09.11.2014;;;;;;;;;;38|1000|378|45|350;жвачка|днибудущ|KFC|kinder|такси;;
10.11.2014;;;;;;;135;;;207;пиво;;
11.11.2014;;;;;;;93;;;971|300;якитория|такси;198|320;каметон и антимакс|ацилокаксинум
12.11.2014;;;1500;1400;;;;300;;;;;
13.11.2014;;;;;;;;;;77|550;магаз|цветы;;
14.11.2014;;;;;2254;степендия;236;;;;;160|200|139;гексорал табс|подарок Ане(на работе)|Ингалипт
15.11.2014;;;;;;;;;;400;kilfish;5000;Колян
16.11.2014;3000;на продукты;;;;;;300;;179;бургеркинг;944;продукты домой и бабушке
17.11.2014;;;;;;;205;;50;;;60;мобильный банк
18.11.2014;;;;;;;220;;;;;700|618;справка по физре|продукты домой
19.11.2014;;;;3400;100;такси;;;50;17;жвачка;;
20.11.2014;;;;;8622;аванс MTI ;152;;;;;;
21.11.2014;;;;;;;180;;;119;саб;45|200|5000|100|666|199|41;5дн|на ДР|за права|сырки|дикси|продукты|маршрутка
22.11.2014;;;;;;;;300;50;95|12;сиги|мак;1000;др у Сани Гаврилина
23.11.2014;;;;;;;;100;;;;403|250;продукты|мойка
24.11.2014;;;;;;;214;;50;28;зажигалка;;
25.11.2014;;;;;;;;;;22;леденцы;;
26.11.2014;;;200;1200;;;;200;50;199;бургеркинг;;
27.11.2014;;;;;;;289;300;;135;мишка Кристюше;5000;отдал Владу долг
28.11.2014;;;200;;;;200;;;;;;
29.11.2014;;;180;;5000;Колян;135;;;140|300;купоны|с Владом;;
30.11.2014;650;проезной;;1200;;;;;50;;;;
