Дата;Мама;;Мама (PM);Ученики;Другие доходы;;MTI;бенз;Моб;Гулянки;;Другие расходы;
01.10.2014;;;;1200;100;такси;;;;;;100;сестре на салат
02.10.2014;100;мобильный;;;;;;;100;535;с Кристиной;100;на карту Тройка
03.10.2014;600;проездной;400;;12321;зарплата MTI;290;;;;;350;проездной на мерто
04.10.2014;;;;;;;;400;;600|800;цветы|с Кристиной;423|100;бабушке|коммисияСбербанка
05.10.2014;;;;;;;;;;34;жвачка;;
06.10.2014;;;;;;;260;;;;;10;планшет
07.10.2014;;;;;;;215;;100;100|25|600|600;сиги|дирол|цветы|с Кристной;25;маршрутка
08.10.2014;;;;;10000;Наталья Владимировна;;;;102|150;торт|сабвей;1300|70|3000;краска и лак и грунтовка|незамерзайка|3билета25/17
09.10.2014;;;;;;;142;;;;;;
10.10.2014;5800;на лечение зуба;;;;;;400;;106|119|73;магаз|саб|бабушке;54|5120|265;зведочка|удаление зуба|аптека
11.10.2014;;;;;100;такси;100;500;100;198;перекрёсток;5300|157;шины с установкой|аптека
12.10.2014;300;бенз;;;;;;414;;;;;
13.10.2014;;;;;;;242;;;98;мак;;
14.10.2014;;;200;;2254;степендия;189;;;;;;
15.10.2014;;;;;100;Женя;107;400;;124|48|635;шоколадки|мак|с Кристиной;600;парихмахерская
16.10.2014;;;;;;;;;;;;1800;билеты на Centr
17.10.2014;6300;куртка и шапка;;;;;;;;;;60|5499|599;моб.банкинг|куртка|шапка
18.10.2014;100;мобильный;;;;;;;100;586;бухло;10;метро
19.10.2014;;;;;;;;;;25|620|125;жвачка|цветы|магаз;;
20.10.2014;;;;;8622;аванс MTI;30;;;;;200;Саше на подарок
21.10.2014;;;80;;;;35;;;;;35;салфетки и лимон
22.10.2014;;;;1200;;;;;;53|48;муму|мак;;
23.10.2014;;;400;;;;44;;;150|34|25|500;магаз|сырок|жвачка|кино;50|100;проезд|Женя
24.10.2014;;;;;;;45;;100;65|400|192;пиво|тодасе|мак;50;добавка на подарок Саше
25.10.2014;;;;;;;;300;;30;жвачка;69|3000|180;5дней|билеты на skillet|холодец бабушке
26.10.2014;;;;;500;такси;;300;;468|70;мак|пронто;;
27.10.2014;;;188;;;;127;;;;;;
28.10.2014;;;100;;;;105;;;;;259;авито репетитор
29.10.2014;;;200;1200;;;10;;;169;мак;;
30.10.2014;;;;;;;150;300;50;550|27|335|41;цветы|жвачка|мак с кристи|пикник;;
31.10.2014;2800;медсправка в ГАИ;200;;16382;зарплата MTI;65;;;167;мак;2700;медсправка в ГАИ
