Дата;Мама;;Мама (PM);Ученики;Другие доходы;;MTI;бенз;Моб;Гулянки;;Другие расходы;
01.09.2014;;;;;;;;;;;;;
02.09.2014;;;;;;;;;;;;;
03.09.2014;;;;;;;;;;;;;
04.09.2014;;;;;;;;;;;;;
05.09.2014;;;;;12809;зарплата MTI;;;;;;2000;сувениры и официантам на чай
06.09.2014;;;;;;;;;;55|99;липтон|ростикс;50;тройка
07.09.2014;;;;;;;;100;;203;шиномонтаж;10000|380;Вано за турцию|аптека
08.09.2014;600;проезной;400;;;;277;;;;;350;проезд на метро
09.09.2014;;;;;;;195;;;;;230;проезд на ТАТ
10.09.2014;;;;;;;140;;200;;;100;
11.09.2014;;;;1200;44000|4508;ВАЗ2115|степендия;;300;;140;магаз;4000|3000;Вано за турцию|РусланВАЗ2115(долг)
12.09.2014;;;;;;;214;;;170;сбаро;500|100;на свадьбу Саши и Елисея|антифриз
13.09.2014;;;;;;;150;;;;;791;масл и антифриз и зуб. Щетка
14.09.2014;;;;;;;;;;;;100;
15.09.2014;;;;;;;230;;;;;25;тетрадь
16.09.2014;500;интернет;1100;;30;саша;185;;;195;сбаро с Димой;500;интернет
17.09.2014;;;;;;;191;300;;;;60|645|23900;моб.банкинг|лекарства|покупка iPad
18.09.2014;150;мобильный;;;;;140;;250;50;ростикс;5200|100;стекло|Вано
19.09.2014;;;;;7000;аванс MTI;150;;;;;200|700;симка|сестраНаЧехол
20.09.2014;;;;;150;такси;;500;;;;805;аптека(антибиотик)
21.09.2014;;;500;;;;;600;;;;69;спирт для кампресса
22.09.2014;;;;;;;160;;;;;;
23.09.2014;;;;;;;155;;;;;;
24.09.2014;;;;1200;;;;;;;;;
25.09.2014;;;;;;;20;;;;;180;аптекаМезим
26.09.2014;;;;;;;198;;50;;;1200;турциявсё
27.09.2014;;;;;;;;400;;468;с Кристиной;45;йогурт
28.09.2014;;;;;;;;;;206;мак;2690;SSD для дома
29.09.2014;;;;;;;59;;;;;;
30.09.2014;;;;;;;170;;;;;300;на подарки
